date,dexalus,dexcaus,dexjpus,dexszus,dexukus
2021-03-31,1.3135426244581636,1.2571,110.61,0.9418,0.7249003262051468
2021-04-01,1.315097317201473,1.2569,110.61,0.9409,0.7233273056057866
2021-04-02,1.3145786775338504,1.2566,110.67,0.9419,0.7233273056057866
2021-04-05,1.3059945148230376,1.2512,110.08,0.9359,0.7190623427051125
2021-04-06,1.3054830287206267,1.254,109.83,0.9325,0.7220737959419452
2021-04-07,1.3111315064901008,1.2614,109.67,0.9274,0.7269026677327907
2021-04-08,1.3089005235602094,1.2576,109.25,0.9249,0.7278550112817527
2021-04-09,1.3104442405975625,1.254,109.64,0.9249,0.72811999417504
2021-04-12,1.3123359580052494,1.2556,109.43,0.9228,0.727749072119933
2021-04-13,1.310787783457858,1.2541,109.19,0.9213,0.7276961141027506
2021-04-14,1.2934937265554263,1.2515,108.93,0.9228,0.7251631617113851
2021-04-15,1.2909888974954815,1.2539,108.78,0.9227,0.7256367462448298
2021-04-16,1.2929919834497026,1.2498,108.78,0.9196,0.7232749891508752
2021-04-19,1.2888258796236627,1.2534,108.09,0.9155,0.7154611146884167
2021-04-20,1.2916559028674761,1.2574,108.07,0.9145,0.7165890361877464
2021-04-21,1.2894906511927788,1.2484,108.09,0.9166,0.7175660160734788
2021-04-22,1.2944983818770228,1.249,108.17,0.9182,0.7219695328857122
2021-04-23,1.292156609381057,1.2495,107.94,0.9152,0.7222824124232574
2021-04-26,1.281722635221738,1.2399,108.12,0.9145,0.7199424046076314
2021-04-27,1.2861736334405145,1.2396,108.56,0.9134,0.719010641357492
2021-04-28,1.2873326467559216,1.2354,108.81,0.9124,0.7185456635769203
2021-04-29,1.2888258796236627,1.2295,108.94,0.9099,0.7165376898824879
2021-04-30,1.2960082944530846,1.2291,109.33,0.9127,0.7226477814713109
2021-05-03,1.2889920082495487,1.2275,109.08,0.9116,0.718752246100769
2021-05-04,1.3007284079084287,1.232,109.34,0.9136,0.7208246233691343
2021-05-05,1.2903225806451613,1.2262,109.27,0.913,0.718752246100769
2021-05-06,1.2873326467559216,1.2192,109.17,0.9096,0.7204610951008646
2021-05-07,1.272102785905101,1.2137,108.52,0.9009,0.7142857142857143
2021-05-10,1.2696800406297613,1.2085,108.7,0.8986,0.7065639793683318
2021-05-11,1.2750223128904756,1.2092,108.53,0.902,0.7067637288854336
2021-05-12,1.2929919834497026,1.2104,109.53,0.9088,0.710176834031674
2021-05-13,1.2948336138806165,1.2147,109.56,0.9068,0.7126060001425212
2021-05-14,1.286008230452675,1.2114,109.37,0.9021,0.7094211123723042
2021-05-17,1.2878300064391501,1.2073,109.17,0.9016,0.7078643731860975
2021-05-18,1.2850167052171677,1.2061,109.01,0.8986,0.7050197405527354
2021-05-19,1.2898232942086933,1.2089,108.76,0.9003,0.7057661091114404
2021-05-20,1.2853470437017995,1.2049,108.79,0.8985,0.7051191651389085
2021-05-21,1.2934937265554263,1.2072,108.94,0.8987,0.7063144511936714
2021-05-24,1.291822761917065,1.2082,108.81,0.8973,0.706863646002686
